Catégorie principale;Catégorie;Sous Catégories;Type;Produit;Site La Fourche;Quantité La Fourche;Site Biocoop Champollion;Quantité Biocoop Champollion;Site Biocoop Fontaine;Quantité Biocoop Fontaine;Site Satoriz;Quantité Satoriz;Site GreenWeez;Quantité GreenWeez;Code Elefan;Quantité Elefan;Date MAJ;Proportion;Elefan moins cher mais sans stock;
Bébé;Lait infantile;Tout;Prix bas;Lait 1;https://lafourche.fr/products/holle-lait-1-bio-demeter-pour-nourrissons-des-la-naissance-jusqu-a-6-mois-0-4kg;0,4;https://www.biocoop.fr/lait-infantile-1er-age-800g-nt2000-000.html;0,8;https://www.biocoop.fr/lait-infantile-1er-age-800g-nt2000-000.html;0,8;https://satoriz-comboire.bio/collections/bebe/products/pu660168808;0,4;https://www.greenweez.com/produit/lait-nourrisson-vache-1er-age-800g-de-0-a-6-mois/1JUNE0012;0,8;LAIT EN POUDRE PRIMEA / 0 A 6 MOIS;;;;;
Bébé;Lait infantile;Tout;Prix bas;Lait 2;https://lafourche.fr/products/holle-lait-de-suite-2-demeter-bio-des-6-mois-0-6kg;0,6;https://www.biocoop.fr/lait-infantile-2eme-age-800g-nt2001-000.html;0,8;https://www.biocoop.fr/lait-infantile-2eme-age-800g-nt2001-000.html;0,8;https://satoriz-comboire.bio/collections/bebe/products/pu660154208;0,6;https://www.greenweez.com/produit/lait-de-suite-2-600g-apres-6-mois/2HOLL0116;0,6;LAIT EN POUDRE PRIMEA / + DE 6 MOIS;;;;;
Bébé;Lait infantile;Tout;Prix bas;Lait 3;https://lafourche.fr/products/hipp-lait-3-de-croissance-essentia-bio-0-6kg;0,6;https://www.biocoop.fr/lait-infantile-3eme-age-800g-nt2002-000.html;0,8;https://www.biocoop.fr/lait-infantile-3eme-age-800g-nt2002-000.html;0,8;https://satoriz-comboire.bio/collections/bebe/products/pu660154308;0,6;https://www.greenweez.com/produit/lait-de-suite-3-600g-des-10-mois/2HOLL0114;0,6;LAIT EN POUDRE CROISSANCE / + DE 10 MOIS;0,8;;;;
Bébé;Change;Couche;Prix bas;Couche T2;https://lafourche.fr/products/la-fourche-couches-ecologiques-t2-56unite;56;https://www.biocoop.fr/couches-bebe-t2-mini-3-6kg-58-ts4023-000.html;58U;https://www.biocoop.fr/couches-bebe-t2-mini-3-6kg-58-ts4023-000.html;58U;https://satoriz-comboire.bio/collections/bebe/products/bb01;36U;https://www.greenweez.com/produit/couches-ecologiques-t2-mini-3-6kg-anti-fuites-x38/2WEEZ0544;38U;COUCHE BIBOU DRY TAILLE 2 | 3-6KG;56;;;;
Bébé;Change;Couche;Prix bas;Couche T3;https://lafourche.fr/products/la-fourche-couches-ecologiques-t3-54unite;54;https://www.biocoop.fr/couches-bebe-t3-midi-4-9kg-56-ts4001-000.html;56U;https://www.biocoop.fr/couches-bebe-t3-midi-4-9kg-56-ts4001-000.html;56U;https://satoriz-comboire.bio/collections/bebe/products/bb02;36U;https://www.greenweez.com/produit/couches-ecologiques-t3-midi-4-9kg-anti-fuites-x56/2WEEZ0543;56U;COUCHE BIBOU DRY TAILLE 3 | 4-9KG;56;;;;
Bébé;Change;Couche;Prix bas;Couche T4;https://lafourche.fr/products/la-fourche-couches-ecologiques-t4-48unite;48;https://www.biocoop.fr/couches-bebe-t4-maxi-7-18-kg-50-ts4002-000.html;50U;https://www.biocoop.fr/couches-bebe-t4-maxi-7-18-kg-50-ts4002-000.html;50U;https://satoriz-comboire.bio/collections/bebe/products/bb03;32U;https://www.greenweez.com/produit/couches-ecologiques-t4-maxi-7-14kg-anti-fuites-x50/2WEEZ0545;50U;COUCHE BIBOU DRY TAILLE 4 MAX | 7-18KG;52;;;;
Bébé;Change;Couche;Prix bas;Couche T5;https://lafourche.fr/products/la-fourche-couches-ecologiques-t5-40unite;40;https://www.biocoop.fr/couches-bebe-t5-junior-12-25kg-46-ts4004-000.html;46U;https://www.biocoop.fr/couches-bebe-t5-junior-12-25kg-46-ts4004-000.html;46U;https://satoriz-comboire.bio/collections/bebe/products/bb04;28U;https://www.greenweez.com/produit/couches-ecologiques-t5-junior-11-16kg-anti-fuites-x44/2WEEZ0546;44U;COUCHE BIBOU DRY TAILLE 5 | 11-25KG;48;;;;
Bébé;Change;Tout;Prix bas;Liniment;https://lafourche.fr/products/la-fourche-liniment-oleo-calcaire-certifie-cosmos-organic-1l;1;https://www.biocoop.fr/liniment-oleo-calcaire-bebe-lg5038-000.html;0,5;https://www.biocoop.fr/liniment-oleo-calcaire-bebe-lg5038-000.html;0,5;https://satoriz-comboire.bio/products/ecoae035?_pos=3&_sid=db2ea40dc&_ss=r;1;https://www.greenweez.com/produit/liniment-bebe-oleocalcaire-1l/2WEEZ0527;1;LINIMENT VRAC;1;;;;
Boissons;Boissons végétales;Tout;Prix bas;Boisson avoine;https://lafourche.fr/products/la-fourche-boisson-avoine-bio-1l;1;https://www.biocoop.fr/boisson-avoine-naturel-1l-tb0026-000.html;1;https://www.biocoop.fr/boisson-avoine-naturel-1l-tb0026-000.html;1;https://satoriz-comboire.bio/collections/boissons-sans-alcools/products/lbt259;1;https://www.greenweez.com/produit/boisson-vegetale-avoine-sans-sucres-1l/3EVER0147;1;LAIT D AVOINE MARKAL;1;;1;;
Boissons;Boissons végétales;Tout;Prix bas;Boisson riz;https://lafourche.fr/products/la-fourche-boisson-riz-bio-1l;1;https://www.biocoop.fr/boisson-de-riz-naturel-1l-tb0036-000.html;1;https://www.biocoop.fr/boisson-riz-nature-1l-tb0038-000.html;1;https://satoriz-comboire.bio/collections/boissons-sans-alcools/products/in1;1;https://www.greenweez.com/produit/lot-de-6-boissons-vegetales-riz-sans-sucre-1l/1PACK3637;6;LAIT DE RIZ MARKAL;1;oct-24;1;BOISSON RIZ VITARIZ;
